-0.2876535, 1.627043, -0.0157465
-0.3823804, 1.705692, 0.0006591901
-0.3511775, 1.709251, 0.05205922
-0.317251, 1.519498, -0.1879855
-0.1749923, 1.517303, 0.1083229
-0.2761297, 1.268927, -0.3176848
-0.08710787, 1.255999, 0.1810882
-0.4165364, 1.059716, -0.3151806
-0.2275384, 1.059455, 0.2527796
-0.3010349, 1.016916, -0.1233005
-0.1897632, 1.013411, 0.03151597
-0.3825197, 0.5660909, -0.1169163
-0.1014296, 0.5652126, -0.003692843
-0.3845421, 0.1235649, -0.1512308
0.1127733, 0.196816, -0.1278402
2025-03-14_14-14-49.709
